bl_bi24latitude,bl_bi24longitude,bl_dw15,bl_dw16,bl_dw19,bl_dw20,bl_dw21,bl_dw23,bl_dw25,bl_dw31,bl_dw32,bl_dw33,bl_dw34,bl_dw36,bl_dw39,bl_dw40,bl_dw41,bl_dw42,bl_dw44,bl_dw45,bl_dw46,bl_dw47,bl_dw52,bl_dw53,bl_dw54,bl_dw56,bl_dw57,bl_dw59,bl_dw61,bl_dw63,bl_dw64,bl_dw72,bl_dw73,bl_sd13,bl_sd14,bl_sd15,bl_sd24_piazza,bl_sd24_leghar,bl_sd26,bl_sd27,bl_sd28,bl_sd33,bl_sd35,bl_sd36,bl_sd43,bl_sd45,bl_sd46,bl_sd48,bl_sd49,bl_sd50,bl_sd51,a01
9.0533905,38.511658,1,2,1,4,2,2,2,1,,,,,1,3,2,,5,1,2,,4,2,2,1,1,5,2,10,10,1,7,5,2,3,-888,-888,15,15,-888,2,2,4,1,1,5,2,4,2,2,62
9.0462608,38.499191,1,3,1,15,2,2,2,2,3,2,,2,1,2,2,,-999,5,2,,4,2,2,1,1,1,2,20,1,1,7,5,2,3,45,45,15,15,45,2,25,4,1,2,25,2,2,2,2,63
8.9710197,38.510571,2,3,2,,2,2,2,1,,,,,1,1,2,,5,1,2,,4,2,2,1,1,5,1,7,4,1,7,5,2,2,-888,-888,45,45,-888,1,1,2,2,1,10,-888,-888,-888,-888,64
8.9727163,38.510456,2,3,2,,2,2,2,1,,,,,1,3,1,1,5,1,2,,4,2,2,1,1,1,2,30,2,1,7,4,2,2,90,90,30,30,90,1,1,4,1,1.5,15,2,2,-888,2,65
8.9769506,38.509289,1,3,2,,2,2,3,1,,,,,1,2,1,1,5,1,2,,4,2,2,1,1,5,2,15,5,1,7,4,3,2,-888,-888,10,30,-888,1,1.5,2,2,2,30,-888,-888,-888,-888,66
8.9667835,38.510021,2,3,2,,2,1,3,1,,,,,1,2,1,1,5,1,2,,4,2,2,1,1,-999,1,25,6,1,5,4,2,2,110,110,10,30,110,2,1,2,1,1,10,2,4,2,4,67
8.9720545,38.51001,2,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,5,2,10,5,1,7,4,2,2,60,60,5,30,60,2,1,4,1,1,10,2,2,2,2,68
8.9587374,38.503944,2,3,2,,2,2,2,1,,,,,5,,2,,5,1,2,,4,2,2,2,,,,,,4,7,4,2,3,-888,-888,20,50,-888,2,20,4,1,3,25,2,2,2,2,69
8.9651775,38.505199,2,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,5,2,15,6,1,7,5,2,4,60,60,15,30,-888,1,2.5,4,1,2,15,4,4,2,3,70
8.963604,38.506435,2,3,2,,2,2,2,1,,,,,1,2,1,1,-999,1,2,,4,2,2,1,1,5,1,5,10,1,7,4,2,3,-888,-888,20,40,-888,2,2,4,1,2,20,2,2,2,2,71
8.9742088,38.510635,2,3,2,,2,1,3,1,,,,,1,2,1,1,5,2,2,,4,2,2,1,1,5,2,20,5,1,5,4,2,2,120,120,2,30,120,1,1,4,2,1,10,2,2,2,2,72
8.9700851,38.509941,8,3,2,,2,2,2,1,,,,,1,2,2,,5,1,2,,4,2,2,1,1,1,1,15,6,1,7,4,2,2,-888,-888,5,-888,-888,1,1,5,2,1,10,-888,-888,-888,-888,73
8.9717951,38.511299,2,3,2,,2,1,2,1,,,,,5,,2,,5,5,2,,4,2,2,1,1,5,2,15,6,1,7,5,2,3,90,90,5,30,90,1,1,2,1,1.5,15,2,4,2,2,74
9.2966595,38.562954,2,3,1,15,2,2,1,1,,,,,1,2,2,,5,1,2,,4,2,1,1,1,-999,1,5,7,1,7,4,2,3,120,-888,5,5,-888,1,1.5,4,2,1,10,-888,-888,-888,-888,75
9.2949991,38.561558,2,3,2,,2,2,2,2,8,3,1,2,1,1,1,1,5,1,2,,4,2,2,1,1,5,1,20,6,1,5,5,2,3,180,180,10,-888,120,1,1.5,3,2,1,10,-888,-888,-888,-888,76
9.2960739,38.561974,1,2,2,,2,2,2,1,,,,,1,2,2,,4,1,2,,1,2,2,1,1,5,1,15,6,1,7,5,3,4,-888,-888,5,5,-888,2,1,3,1,.25,10,3,4,2,2,77
9.2962904,38.563004,1,2,1,15,2,2,2,1,,,,,1,3,2,,5,10,2,,4,2,2,1,1,1,1,10,12,1,7,5,2,3,240,240,5,5,240,1,1.5,4,1,.5,15,2,2,2,2,78
9.2942743,38.567165,2,3,1,15,2,2,4,2,10,2,,2,1,2,2,,5,5,2,,4,2,2,2,,,,,,4,5,5,2,4,90,90,5,5,90,1,.25,2,2,.5,10,-888,-888,-888,-888,79
9.295496,38.562687,1,2,1,15,2,2,2,1,,,,,1,1,1,4,5,15,2,,4,1,,1,1,-999,1,12,8,1,7,5,2,4,65,70,5,5,60,2,1,4,1,.25,5,2,2,2,2,80
9.2935543,38.562649,2,3,2,,2,2,2,1,,,,,1,2,1,5,5,1,2,,4,2,2,1,1,-999,1,2,6,1,5,5,2,3,120,135,10,10,90,2,.5,2,2,.25,20,2,2,2,2,81
9.2883711,38.568123,2,3,2,,2,1,4,1,,,,,1,3,2,,5,2,2,,4,2,2,1,1,5,2,10,12,1,7,4,2,1,-888,-888,15,15,-888,1,.12,4,1,1,20,2,2,2,2,82
